,organism,Number of CRISPRs,Total Cas Prots,Total non V-U Prots,Genes present,System type,system subtype,multiple systems,cas1 missing,missing signature prot,missing RSAs,Taxonomic ID Genus,TaxonID,Taxonomic ID Kingdom,Taxonomic ID Phylum,Taxonomic ID Class,Taxonomic ID Order,Taxonomic ID Family,name
0,NC_000853,7.0,8.0,9.0,cas1|cmr1|cas4|cas8b|c2c9|cas10|cas3,TypeV-U|TypeIII|TypeI,TypeVU-4|TypeIII-B/TypeIII-D|TypeI-B,3.0,,,not all loci have repeats,Thermotoga,2335.0,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,NC_000853
1,NC_000854,3.0,6.0,10.0,cas1|cas4|cas8a|cas3,TypeI,TypeI-A,1.0,,,not all loci have repeats,Aeropyrum,56635.0,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Aeropyrum_camini
2,NC_000868,4.0,3.0,3.0,cas8a|cas3,TypeI,TypeI-A,1.0,missing cas1,,not all loci have repeats,Pyrococcus,2260.0,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,NC_000868
3,NC_000909,14.0,7.0,9.0,cas1|cas4|cas8a|cas10|cas3,TypeIII|TypeI,TypeI-A,2.0,,,not all loci have repeats,Methanocaldococcus,196118.0,Archaea,Euryarchaeota,Methanococci,Methanococcales,Methanocaldococcaceae,Methanocaldococcus_fervens
4,NC_000913,2.0,5.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
5,NC_000916,3.0,7.0,9.0,cas1|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B,2.0,,,not all loci have repeats,Methanothermobacter,145260.0,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanothermobacter_marburgensis
6,NC_000917,3.0,12.0,18.0,cas1|cmr1|cas4|cas8a|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-A,2.0,,,not all loci have repeats,Archaeoglobus,2233.0,Archaea,Euryarchaeota,Archaeoglobi,Archaeoglobales,Archaeoglobaceae,Archaeoglobus_fulgidus
7,NC_000918,6.0,6.0,8.0,cas1|cmr1|cas4|cas8b|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-B,2.0,,,not all loci have repeats,Aquifex,2713.0,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex_aeolicus
8,NC_000961,6.0,13.0,19.0,cas1|cas4|cas8b|cas8a|cas10|cas3,TypeIII|TypeI,TypeI-B|TypeI-A,2.0,,,not all loci have repeats,Pyrococcus,2260.0,Archaea,Euryarchaeota,Thermococci,Thermococcales,Thermococcaceae,NC_000868
9,NC_000962,4.0,7.0,3.0,csm6|cas1|c2c9|cas10,TypeV-U|TypeIII,TypeVU-4|TypeIII-A,2.0,,,not all loci have repeats,Mycobacterium,1763.0,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium_africanum
10,NC_001880,1.0,0.0,0.0,,,,,,,not all loci have repeats,Aquifex,2713.0,Bacteria,Aquificae,Aquificae,Aquificales,Aquificaceae,Aquifex_aeolicus
11,NC_002163,1.0,2.0,2.0,cas1|cas9,TypeII,TypeII-C,1.0,,,not all loci have repeats,Campylobacter,194.0,Bacteria,Proteobacteria,Epsilonproteobacteria,Campylobacterales,Campylobacteraceae,Campylobacter_03
12,NC_002570,5.0,6.0,8.0,cas1|cas8c|cmr1|cas4|cas10|cas3,TypeIII|TypeI,TypeIII-B/TypeIII-D|TypeI-C,2.0,,,not all loci have repeats,Bacillus,1386.0,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus_1NLA3E
13,NC_002578,1.0,0.0,0.0,,,,,,,not all loci have repeats,Thermoplasma,2302.0,Archaea,Euryarchaeota,Thermoplasmata,Thermoplasmatales,Thermoplasmataceae,NC_002578
14,NC_002655,1.0,7.0,3.0,cas1|c2c8|c2c9|cas8e|cas3,TypeV-U|TypeI,TypeVU-2|TypeVU-4|TypeI-E,2.0,,,not all loci have repeats,Escherichia,561.0,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia_blattae
